candidateId,brand,productName,category,domain,sourceUrl,phaseCStatus,blockedReason
naver-58938409922,컬러그램,[순삭커버/입술색 지우개]컬러그램 긱 누드 컬러 커버 틴트 5COLOR,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000245673,manual_review_required,robots_fetch_failed_requires_manual_review
naver-50894910866,컬러그램,[꿀먹광 글로스]컬러그램 탕후루 탱글 꿀로스 3COLOR,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000198689,manual_review_required,robots_fetch_failed_requires_manual_review
naver-50894739523,컬러그램,컬러그램 탕후루 탱글 틴트 미니 듀오 3 COLOR,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000201779,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59777216016,컬러그램,[포켓몬 에디션/메탈참 증정/NEW]컬러그램 누디 블러 스틱 11COLOR,lip,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000252785,manual_review_required,robots_fetch_failed_requires_manual_review
naver-53124255709,컬러그램,[싱글섀도우]컬러그램 싱글 큐브 섀도우 23COLOR,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000216667,manual_review_required,robots_fetch_failed_requires_manual_review
naver-56950179922,컬러그램,[위글위글 콜라보/리뉴얼] 컬러그램 눈토리얼 아이 팔레트 5COLOR,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000234373,manual_review_required,robots_fetch_failed_requires_manual_review
naver-58490392653,컬러그램,[SNS화제템]컬러그램 틴토리 아이 팔레트 1COLOR,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000201881,manual_review_required,robots_fetch_failed_requires_manual_review
naver-60319654918,컬러그램,[기존용기]컬러그램 눈토리얼 아이 팔레트 3COLOR,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000181415,manual_review_required,robots_fetch_failed_requires_manual_review
naver-59777097727,컬러그램,[포켓몬 에디션/NEW]컬러그램 포켓링 아이 팔레트 5COLOR,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000252788,manual_review_required,robots_fetch_failed_requires_manual_review
naver-48384394360,컬러그램,[5초눈확장/중안부축소]컬러그램 올인원 애교살 메이커 10COLOR,shadow,www.oliveyoung.co.kr,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000159062,manual_review_required,robots_fetch_failed_requires_manual_review
