candidateId,brand,category,rankInBrandCategory,productName,priorityScore,selectedForBatch,missingCoreFieldCount,missingFieldGroups,detailCollectionStatus,fetchStatus,domain,sourceStrategy,sourceUrl
naver-43474416049,클리오,brow,6,[2EA]클리오킬브로우 듀얼 타투펜,85.25,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1041803050&vodFlag=N&prdseqnum=1041803050&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-58532633071,정샘물 뷰티,brow,6,정샘물 마스터클래스 아이브로우 브러쉬,85.22,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2605810185?sitmNo=LO2605810185_2605810186&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-45370784272,3CE,brow,6,(현대Hmall) 3CE 올라운더 브로우,85.19,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2247422179?sitmNo=LO2247422179_2247422180&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-59737535500,에뛰드,brow,6,[에뛰드] 베어 엣지 슬림 브로우,85.16,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,with.gsshop.com,naver_live_offer_title_rule_adapter,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=94900682&vodFlag=N&prdseqnum=94900682&utm_source=price&utm_medium=affiliate&utm_campaign=naver
naver-59662310836,더샘,brow,6,더샘 [더샘][뉴코아 울산점] 샘물 아트룩 아이브로우 02 딥 브라운,85.12,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling,not_attempted,,www.lotteimall.com,naver_live_offer_title_rule_adapter,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=3290910330&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare
naver-49163539910,투쿨포스쿨,liner,6,[투쿨포스쿨] ONLY ONLINE 아트클래스 글램 언더 라이너,85.0,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,failed,http_error,m.a-bly.com,do_not_retry_generic_fetch_manual_review,https://m.a-bly.com/goods/3915881?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3915881
naver-60099907928,뮤드,brow,6,뮤드 인스파이어 스키니 브로우 카라 버니 P01호,84.92,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LO2682607473?sitmNo=LO2682607473_2682607474&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
naver-55777949508,에스쁘아,base,8,[기름종이쿠션/퍼프 3매 추가 증정 기획] 에스쁘아 비벨벳 세범컷 쿨링 쿠션 15.8g,84.86,no,3,shade_options|color_tone_intensity|suitable_selling,failed,http_error,www.oliveyoung.co.kr,do_not_retry_generic_fetch_manual_review,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000230386
naver-49596375862,VDL,brow,7,VDL 아이 파인 내추럴 브로우 카라 01 그레이브라운 | 셀러허브_뷰티 - 하프클럽,84.61,no,4,color_tone_intensity|finish_texture|suitable_selling|retail_presence,collected_complete,fetched,gate.halfclub.com,prior_detail_adapter,http://gate.halfclub.com/naver?site_cd=1&type=detail_pcode&p1=P368679009&partnerid=naverdb
naver-49163567809,투쿨포스쿨,brow,5,[투쿨포스쿨] 아트클래스 브로우 디자이닝 펜슬,84.55,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,failed,http_error,m.a-bly.com,do_not_retry_generic_fetch_manual_review,https://m.a-bly.com/goods/3092650?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3092650
naver-55381719519,에스쁘아,brow,5,[납작브로우] 에스쁘아 더브로우 이지 쉐이핑 펜슬 5 colors,84.12,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling,failed,http_error,www.oliveyoung.co.kr,do_not_retry_generic_fetch_manual_review,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000207415
naver-58075109138,하트퍼센트,brow,7,하트퍼센트 도트 온 무드 페이크업 브로우카라,83.8,no,4,color_tone_intensity|finish_texture|suitable_selling|retail_presence,collected_complete,fetched,chicor.com,prior_detail_adapter,https://chicor.com/goods/5100002007487?utm_source=naver&utm_medium=cpc&utm_campaign=ep
naver-49163582154,정샘물 뷰티,base,10,[정샘물뷰티] 정샘물 스킨 누더 쿠션 컨실러 10g (더블 엣지 퍼프 2매),83.77,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,failed,http_error,m.a-bly.com,do_not_retry_generic_fetch_manual_review,https://m.a-bly.com/goods/14948575?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=14948575
naver-57253044815,에스쁘아,base,10,[에스쁘아] 비내추럴 쿠션 SPF50+ PA++++(본품+리필),83.5,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,failed,http_error,m.a-bly.com,do_not_retry_generic_fetch_manual_review,https://m.a-bly.com/goods/44987554?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=44987554
naver-58626392722,데이지크,brow,7,[데이지크] 프로 슬림 브로우 카라,83.09,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,failed,http_error,m.a-bly.com,do_not_retry_generic_fetch_manual_review,https://m.a-bly.com/goods/60258625?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=60258625
naver-14429151094,정샘물 뷰티,liner,8,정샘물 아티스트 콜 펜 라이너,83.03,no,4,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,collected_partial,fetched,www.jsmbeauty.com,prior_detail_adapter,https://www.jsmbeauty.com/index.html?branduid=2152173&ref=naver_open
naver-55919421906,데이지크,liner,8,데이지크 무드 업 마스카라 롱앤컬 블랙,82.81,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,search.shopping.naver.com,naver_live_offer_title_rule_adapter,https://search.shopping.naver.com/catalog/55919421906
naver-59386616306,롬앤,liner,8,롬앤 더 유니버스 리퀴드 글리터 1개,82.58,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,search.shopping.naver.com,naver_live_offer_title_rule_adapter,https://search.shopping.naver.com/catalog/59386616306
naver-90983046686,VDL,liner,8,브이디엘 멀티메이크업 메이크업세트 립스테인 에센셜 오버 라이너 피오니베이지 1개 0.35g,82.28,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,smartstore.naver.com,naver_live_offer_title_rule_adapter,https://smartstore.naver.com/main/products/13438536334
naver-35192637560,페리페라,liner,8,페리페라 [페리페라] 잉크 씬씬 브러쉬라이너,82.0,no,5,shade_options|color_tone_intensity|finish_texture|suitable_selling|retail_presence,not_attempted,,www.lotteon.com,naver_live_offer_title_rule_adapter,https://www.lotteon.com/p/product/LI1943038218?sitmNo=LI1943038218_1&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT
