priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
31,naver-56318640108,롬앤,[NEW] 롬앤 쥬시 알 치크 단품/기획,cheek,colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000219047,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
32,naver-49163445416,롬앤,[롬앤] 베러 댄 치크,cheek,colorFamily | finish | texture,https://m.a-bly.com/goods/2012759?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=2012759&coupon_sno=50253092,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
33,naver-59197963708,롬앤,롬앤베러댄치크-블러셔(SH),cheek,colorFamily | finish | texture,https://www.shinsegaetvshopping.com/display/detail/92919635?inMediaCode=EC12&ckwhere=naverep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.shinsegaetvshopping.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish,blocked,robots_disallowed,True
34,naver-57918562998,롬앤,롬앤 시스루 베일 라이터 (하이라이터),cheek,colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000144887,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
35,naver-53880762390,롬앤,[앞볼륨광] 롬앤 쥬시 알 치크,cheek,colorFamily | finish | texture,https://chicor.com/goods/0000000119859?utm_source=naver&utm_medium=cpc&utm_campaign=ep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,chicor.com,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
36,naver-38550402400,롬앤,롬앤 베러 댄 치크 4g 수채화 발색 블러셔,cheek,colorFamily | finish | texture,https://www.lotteon.com/p/product/LO2094521394?sitmNo=LO2094521394_2094521397&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish | shadeName | shadeSource,blocked,robots_disallowed,True
37,naver-50636894521,롬앤,[롬앤] 베러 댄 치크 4g,cheek,colorFamily | finish | texture,https://www.shinsegaetvshopping.com/display/detail/70991778?inMediaCode=EC12&ckwhere=naverep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.shinsegaetvshopping.com,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
38,naver-58861057403,롬앤,롬앤 베러 댄 치크 블러셔 볼터치 C02 블루베리칩,cheek,colorFamily | finish | texture,https://www.lotteon.com/p/product/LO2618344502?sitmNo=LO2618344502_2618344503&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish,blocked,robots_disallowed,True
39,naver-58861094806,롬앤,롬앤 베러 댄 치크 블러셔 볼터치 W02 스트로베리 밀크,cheek,colorFamily | finish | texture,https://www.lotteon.com/p/product/LO2618346011?sitmNo=LO2618346011_2618346012&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish,blocked,robots_disallowed,True
40,naver-59830055698,롬앤,롬앤 베러 댄 치크 - 블러셔 x2SET (AD),cheek,colorFamily | finish | texture,https://www.lotteon.com/p/product/LO2668131761?sitmNo=LO2668131761_2668131762&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish,blocked,robots_disallowed,True
41,naver-58032630343,롬앤,[롬앤] [NEW/신상런칭] 한올 아이팟 라이너,liner,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/307751209?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
42,naver-89998224762,롬앤,롬앤 한올 아이팟 라이너 5g (GIFT 한올 볼륨/라인 브러쉬),liner,colorFamily | texture | intensity,https://smartstore.naver.com/main/products/12453714015,brand_official | oliveyoung | naver_detail | manual,naver_shopping_url,smartstore.naver.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource,blocked,robots_disallowed,True
43,naver-57266357661,롬앤,[롬앤] [NEW] 한올 아이팟 라이너,liner,colorFamily | texture | intensity,https://zigzag.kr/link/bridge?product_id=165825163&shop_id=14039&utm_source=shopping_naver_all&tab=recommendation,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,zigzag.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
44,naver-57918522792,롬앤,롬앤 립매터,liner,colorFamily | texture | intensity,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000105803,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
45,naver-40754408461,롬앤,[롬앤] 트윙클 펜 라이너,liner,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/303056802?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
46,naver-59386592734,롬앤,롬앤 트윙클 펜 라이너 0.5g 1개,liner,colorFamily | texture | intensity,https://search.shopping.naver.com/catalog/59386592734,brand_official | oliveyoung | naver_detail | manual,naver_shopping_url,search.shopping.naver.com,fetched,not_configured,manual_review_required_before_detail_fetch,,blocked,robots_disallowed,True
47,naver-47864158629,롬앤,[롬앤] [NEW] 더 유니버스 리퀴드 글리터 4colors,liner,colorFamily | texture | intensity,http://www.wconcept.co.kr/Product/305873822?adfrom=naver_ep&utm_source=naver&utm_medium=pcs&utm_campaign=WCONCEPT&utm_content=none&utm_term=none,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.wconcept.co.kr,fetched,not_configured,manual_review_required_before_detail_fetch,finish | texture,blocked,robots_disallowed,True
48,naver-59386616306,롬앤,롬앤 더 유니버스 리퀴드 글리터 1개,liner,colorFamily | texture | intensity,https://search.shopping.naver.com/catalog/59386616306,brand_official | oliveyoung | naver_detail | manual,naver_shopping_url,search.shopping.naver.com,fetched,not_configured,manual_review_required_before_detail_fetch,finish | texture,blocked,robots_disallowed,True
