priority,candidateId,brand,productName,category,targetFields,sourceUrls,allowedSourceHints,sourceAdapter,domain,robotsStatus,termsStatus,detailFetchDecision,extractedFields,phaseCStatus,blockedReason,needsManualReview
32,naver-49163477690,정샘물 뷰티,[정샘물뷰티] 정샘물 에센셜 스킨 누더 쿠션 리필 x 2개 (더블클린 수정화장패드 x 5매),base,shadeName | undertone | finish | coverage | skinTypeTags,https://m.a-bly.com/goods/3093835?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=3093835,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,manual_review_required,terms_not_configured,True
33,naver-56149298490,라카,[NEW컬러출시] 라카 모노 아이섀도우,shadow,palette | colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000183472,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,,manual_review_required,robots_fetch_failed_requires_manual_review,True
34,naver-50519987812,롬앤,[롬앤]베러댄팔레트6g,shadow,palette | colorFamily | finish | texture,https://www.shinsegaetvshopping.com/display/detail/70855366?inMediaCode=EC12&ckwhere=naverep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.shinsegaetvshopping.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,blocked,robots_disallowed,True
35,naver-60084440202,정샘물 뷰티,[정샘물뷰티] 정샘물 아티스트 아이 팔레트 코어 6종 (아이 팔레트 코어 브러쉬),shadow,palette | colorFamily | finish | texture,https://m.a-bly.com/goods/69321238?utm_source=web_naver-shopping&utm_medium=display&utm_campaign=web_naver-shopping&utm_content=69321238,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,m.a-bly.com,fetched,not_configured,manual_review_required_before_detail_fetch,texture,manual_review_required,terms_not_configured,True
36,naver-55774345211,컬러그램,[포켓몬 에디션/모공블러셔]컬러그램 틴토리 솜 블러셔 14COLOR,cheek,colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000228682,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,finish,manual_review_required,robots_fetch_failed_requires_manual_review,True
37,naver-60464969790,라카,[라카 ][new] 퍼펙트 트윈 립 (10종),lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://chicor.com/goods/5100002077792?utm_source=naver&utm_medium=cpc&utm_campaign=ep,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,chicor.com,fetched,not_configured,manual_review_required_before_detail_fetch,,manual_review_required,terms_not_configured,True
38,naver-54648462136,클리오,클리오 [NEW] 클리오 볼륨메이트 틴트 (글로스/블러),lip,shadeName | colorFamily | undertone | finish | texture | intensity,https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=2975513837&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,brand_official | oliveyoung | naver_detail | manual,lotteimall_partner_url,www.lotteimall.com,fetched,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,finish | texture,blocked,robots_disallowed,True
39,naver-60092731367,3CE,3CE 핏팅 메쉬 쿠션(본품+리필)+핏팅 메쉬 쿠션 퍼프 2개,base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.hmall.com/md/pda/itemPtc?ReferCode=429&slitmCd=2216365119&utm_source=naver&utm_medium=cps_pcs&utm_campaign=sale,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.hmall.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource | texture,blocked,robots_disallowed,True
40,naver-59067417236,페리페라,페리페라 무드 핏 커버 쿠션 본품 03 내추럴핏,base,shadeName | undertone | finish | coverage | skinTypeTags,https://www.lotteon.com/p/product/LO2627812281?sitmNo=LO2627812281_2627812282&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,coverage | shadeName | shadeSource | texture,blocked,robots_disallowed,True
41,naver-59101837312,3CE,3CE 아이 스위치 스틱 [증정]아이스위치 미니(랜덤),shadow,palette | colorFamily | finish | texture,https://www.lotteon.com/p/product/LO2626327634?sitmNo=LO2626327634_2626327635&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,brand_official | oliveyoung | naver_detail | manual,unknown_partner_url,www.lotteon.com,fetched,not_configured,manual_review_required_before_detail_fetch,shadeName | shadeSource,blocked,robots_disallowed,True
42,naver-57800795317,페리페라,페리페라 올테이크 무드 라이크 팔레트,shadow,palette | colorFamily | finish | texture,https://www.oliveyoung.co.kr/store/common/partner.do?chlNo=1&chlDtlNo=1&utm_source=naver&utm_medium=shopping_ep&utm_campaign=onpro_ep_product_0101_1231&utm_content=pc_price&sndType=goods&sndVal=A000000183970,brand_official | oliveyoung | naver_detail | manual,oliveyoung_partner_url,www.oliveyoung.co.kr,fetch_failed_requires_manual_review,fetch_failed_requires_manual_review,manual_review_required_before_detail_fetch,texture,manual_review_required,robots_fetch_failed_requires_manual_review,True
